x,y,z,yaw,velocity,change_flag
6843.2983,-8272.2842,-61.8072,-1.1248,12.8162,0
6843.7656,-8273.2783,-61.8542,-1.1259,13.5224,0
6844.2295,-8274.2568,-61.8003,-1.1267,12.5218,0
6844.7100,-8275.2871,-61.8363,-1.1278,13.6351,0
6845.1733,-8276.2852,-61.8445,-1.1291,13.1386,0
6845.6636,-8277.3291,-61.8338,-1.1308,13.0888,0
6846.1421,-8278.3584,-61.8332,-1.1326,14.0093,0
6846.6128,-8279.3867,-61.8368,-1.1371,12.4456,0
6847.1074,-8280.4629,-61.8424,-1.1443,14.2253,0
6847.5405,-8281.4658,-61.8503,-1.1547,12.4036,0
6848.0161,-8282.5293,-61.8559,-1.1703,13.2721,0
6848.4414,-8283.5654,-61.8518,-1.1901,13.3716,0
6848.8413,-8284.6123,-61.8577,-1.2149,12.9737,0
6849.2114,-8285.6748,-61.8478,-1.2423,13.1743,0
6849.5420,-8286.6914,-61.8520,-1.2705,12.9241,0
6849.8481,-8287.7373,-61.8363,-1.3041,12.6442,0
6850.1348,-8288.7842,-61.8537,-1.3439,13.1252,0
6850.3569,-8289.8623,-61.8472,-1.3911,13.1656,0
6850.5337,-8290.8994,-61.8263,-1.4450,12.8098,0
6850.6255,-8291.9473,-61.8215,-1.5046,12.2031,0
6850.6416,-8293.0342,-61.8209,-1.5646,11.9348,0
6850.6328,-8294.1553,-61.8190,-1.6206,13.1816,0
6850.5142,-8295.2588,-61.8208,-1.6745,13.0913,0
6850.3599,-8296.3965,-61.8156,-1.7229,14.1293,0
6850.1470,-8297.5488,-61.7987,-1.7667,13.3050,0
6849.8823,-8298.7207,-61.7962,-1.8105,14.2860,0
6849.5801,-8299.8506,-61.7832,-1.8555,13.9155,0
6849.2188,-8300.9844,-61.7707,-1.9033,14.1855,0
6848.7993,-8302.0850,-61.7762,-1.9557,13.8815,0
6848.3135,-8303.1680,-61.7710,-2.0111,13.9211,0
6847.7646,-8304.2285,-61.7565,-2.0686,14.0395,0
6847.1431,-8305.2559,-61.7502,-2.1273,14.0988,0
